strain,sequence,promoter_backbone,binding_sites,integration_cassette,TF,parental_strain
sML044,Pho5pr--delPho2-NC-yoEGFP-tTDHI-URA,PHO5,delPho2_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML045,Pho5pr--delPho2-CN-yoEGFP-URA,PHO5,delPho2_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML046,Pho5pr--delPho2-CC-yoEGFP-tTDHIURA,PHO5,delPho2_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,BY4741
sML047,Pho5pr-WT-NN-yoEGFP-tTDHI-URA,PHO5,WT_N-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML048,Pho5pr-WT-NC-yoEGFP-tTDHI-URA,PHO5,WT_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML049,Pho5pr-WT-NA-yoEGFP-tTDHI-URA,PHO5,WT_N-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML050,Pho5pr-WT-CN-yoEGFP-tTDHI-URA,PHO5,WT_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML051,Pho5pr-WT-CC-yoEGFP-tTDH-URA,PHO5,WT_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML052,Pho5pr-WT-CA-yoEGFP-tTDHI-URA,PHO5,WT_5W-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML053,Pho5pr-WT-AN-yoEGFP-tTDHI-URA,PHO5,WT_A-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML054,Pho5pr-WT-AC-yoEGFP-tTDHI-URA,PHO5,WT_A-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML055,Pho5pr-WT-AA-yoEGFP-tTDHI-URA,PHO5,WT_A-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML056,Pho5pr--delPho2-NN-yoEGFP-tTDHI-URA,PHO5,delPho2_N-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML057,Pho5pr--delPho2-NC-yoEGFP-tTDHI-URA,PHO5,delPho2_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML058,Pho5pr--delPho2-CN-yoEGFP-URA,PHO5,delPho2_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML059,Pho5pr--delPho2-CC-yoEGFP-tTDHIURA,PHO5,delPho2_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,del-pho4
sML060,Pho5pr-WT-NN-yoEGFP-tTDHI-URA,PHO5,WT_N-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML061,Pho5pr-WT-NC-yoEGFP-tTDHI-URA,PHO5,WT_N-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML062,Pho5pr-WT-NA-yoEGFP-tTDHI-URA,PHO5,WT_N-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML063,Pho5pr-WT-CN-yoEGFP-tTDHI-URA,PHO5,WT_5W-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML064,Pho5pr-WT-CC-yoEGFP-tTDH-URA,PHO5,WT_5W-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML065,Pho5pr-WT-CA-yoEGFP-tTDHI-URA,PHO5,WT_5W-A,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML066,Pho5pr-WT-AN-yoEGFP-tTDHI-URA,PHO5,WT_A-N,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
sML067,Pho5pr-WT-AC-yoEGFP-tTDHI-URA,PHO5,WT_A-5W,Lys2 5'-Pr-GFP-scTDH1-URA3-Lys 2 3',Pho4,Z3EV_mScarlet-Pho4-NL
