tgt,ptile,Bmax,n,lk,lnsigma
(17)A11(-1)A11(-1)A11(-1)A11(40),52,1.8648781677308714,1.639844037823354,1.2758197837260372,-1.2450109530841675
(17)A11(-1)A11(-1)A11(-1)A11(40),53,1.867964171962137,1.6543247605806939,1.2779834514599153,-1.2406096291841295
(17)A11(-1)A11(-1)A11(-1)A11(40),54,1.8712730767769026,1.6686176109824022,1.2799893532768198,-1.2361957611804224
(17)A11(-1)A11(-1)A11(-1)A11(40),55,1.8745411809177892,1.683904053943433,1.2819944598471,-1.2317727454412803
(17)A11(-1)A11(-1)A11(-1)A11(40),56,1.8779097396404414,1.6986980507960323,1.2840532988968356,-1.227065650107074
(17)A11(-1)A11(-1)A11(-1)A11(40),57,1.8810576763065476,1.7126540393778817,1.2861402649808489,-1.2225671227330592
(17)A11(-1)A11(-1)A11(-1)A11(40),58,1.8845264691501091,1.7270309278407268,1.2882911373390162,-1.2179512765698486
(17)A11(-1)A11(-1)A11(-1)A11(40),59,1.8878756925989566,1.741514944809517,1.2904602788101365,-1.2131291946541287
(17)A11(-1)A11(-1)A11(-1)A11(40),60,1.891599642695825,1.7562619409549223,1.2926487212948023,-1.2083203334305268
(17)A11(-1)A11(-1)A11(-1)A11(40),61,1.8951151492782816,1.7711883675887226,1.294896518323119,-1.2035881123868715
(17)A11(-1)A11(-1)A11(-1)A11(40),62,1.8987001176184912,1.7875578504431124,1.2970314034100647,-1.1987854906331863
(17)A11(-1)A11(-1)A11(-1)A11(40),63,1.9022350971427615,1.8033576959067643,1.2993118364733147,-1.193719675974113
(17)A11(-1)A11(-1)A11(-1)A11(40),64,1.9059974326536513,1.8194638468391537,1.3016523544677363,-1.188876668386699
(17)A11(-1)A11(-1)A11(-1)A11(40),65,1.9098597737142042,1.8363147889678972,1.3039363059525588,-1.1839249502147708
(17)A11(-1)A11(-1)A11(-1)A11(40),66,1.913795854393892,1.8527596371078021,1.3063409580683787,-1.1789724801287638
(17)A11(-1)A11(-1)A11(-1)A11(40),67,1.9175532081147968,1.8699706163778553,1.3086561301034403,-1.173808658152261
(17)A11(-1)A11(-1)A11(-1)A11(40),68,1.9214488303241009,1.8873987645746488,1.3111361506622994,-1.168507022685621
(17)A11(-1)A11(-1)A11(-1)A11(40),69,1.9255969925370846,1.90539018570039,1.3134470909382938,-1.1631634949864234
(17)A11(-1)A11(-1)A11(-1)A11(40),70,1.9295926549271505,1.9240349474724692,1.315952648932867,-1.157613066647997
(17)A11(-1)A11(-1)A11(-1)A11(40),71,1.933794157516565,1.9438341885449044,1.318303303007051,-1.1518093938189335
